model_name,sheet_number,sheet_name,current_revision,revision_date,revision_description,regulated_required,regulated_rev,regulated_date,regulated_description,regulated_dp_name,regulated_dp_reg_no
AA_Hinkler_Av,A40023,INGROUND DETAILS SHEET 03,1,28.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2A),,,,,,
AA_Hinkler_Av,A57310,BUILDING C GARBAGE ROOMS,A,10.11.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42004,FACADE DETAILS SHEET 04,D,30.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42005,FACADE DETAILS SHEET 05,A,27.02.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A75010,INTERPOD BATHROOM TYPE A & LAUNDRY,A,19.01.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A75011,INTERPOD BATHROOM TYPE B,A,19.01.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A75012,INTERPOD BATHROOM TYPE C,A,19.01.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A75013,INTERPOD BATHROOM TYPE D,A,19.01.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A75014,INTERPOD BATHROOM TYPE E,A,19.01.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40024,INGROUND DETAILS SHEET 04,2,12.02.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
AA_Hinkler_Av,A80001,DOOR FRAME TYPES SHEET 01,B,20.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09030,OVERALL GA PLAN - LEVEL 10,B,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09031,OVERALL GA PLAN - LEVEL 11-17,B,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42006,FACADE DETAILS SHEET 06,A,27.02.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42007,FACADE DETAILS SHEET 07,A,03.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A57600,OSD TANK 1,A,03.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,SK0035,Unnamed,A,06.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A02022,DETAILED EXCAVATION SHEET 02,1,16.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC3),,,,,,
AA_Hinkler_Av,A02021,DETAILED EXCAVATION SHEET 01,2,22.04.26,FOR COORDINATION,,,,,,
AA_Hinkler_Av,A56010,EXTERNAL STAIR 01,,,,,,,,,
AA_Hinkler_Av,A09032,OVERALL GA PLAN - ROOF,A,08.05.26,FOR INFORMATION,,,,,,
